Round	Player	Message
9	ssnumber8	Upgraded train to a White Dragon [14-2] for $10.
9	ssnumber8	Moved 12 spaces.
9	ARStoo	Finished Turn on 4/25/2026 1:28:43 PM PDT
9	ARStoo	Upgraded train to a Red Dragon [16-2] for $10.
9	ARStoo	Upgraded train to a White Dragon [14-2] for $10.
9	ARStoo	Moved 7 spaces.
9	ARStoo	Player paid bribe of $1.
9	ARStoo	Picked up Fruit in Ghassouf.
9	ARStoo	Drew card 91.
9	ARStoo	Delivered Pilgrims for $27 to Ghassouf.
9	ARStoo	Moved 5 spaces.
9	Chip	Finished Turn on 4/25/2026 12:57:19 PM PDT
9	Chip	Disembarked.
9	Chip	Moved 11 spaces.
9	Briand	Finished Turn on 4/25/2026 12:47:47 PM PDT
9	Briand	Upgraded train to a Iron Dragon [16-3] for $10.
9	Briand	Moved 14 spaces.
9	Briand	Picked up Gold in Risidan.
9	Briand	Moved 2 spaces.
8	ssnumber8	Finished Turn on 4/25/2026 10:13:14 AM PDT
8	ssnumber8	Moved 12 spaces.
8	ARStoo	Finished Turn on 4/25/2026 10:11:34 AM PDT
8	ARStoo	Moved 12 spaces.
8	Chip	Finished Turn on 4/25/2026 10:00:48 AM PDT
8	Chip	Moved 12 spaces.
8	Briand	Built 10 segments for $19.
8	Briand	Finished Turn on 4/25/2026 9:19:26 AM PDT
8	Briand	Moved 8 spaces.
8	Briand	Drew card 131.
8	Briand	Delivered Fish for $30 to Saadah.
8	Briand	Moved 6 spaces.
7	ssnumber8	Built 4 segments for $16.
7	ssnumber8	Finished Turn on 4/21/2026 10:53:29 AM PDT
7	ssnumber8	Upgraded train to a Salamander [12-2] for $10.
7	ssnumber8	Moved 1 spaces.
7	ssnumber8	Picked up Potions in Oraianda.
7	ssnumber8	Drew card 97.
7	ssnumber8	Delivered Steel for $36 to Oraianda.
7	ssnumber8	Moved 9 spaces.
7	ARStoo	Built 1 segments for $3.
7	ARStoo	Finished Turn on 4/21/2026 8:37:37 AM PDT
7	ARStoo	Moved 9 spaces.
7	ARStoo	Picked up Pilgrims in Janoshal.
7	ARStoo	Dropped off load Iron.
7	ARStoo	Picked up Pilgrims in Janoshal.
7	ARStoo	Dropped off load Ale.
7	ARStoo	Moved 3 spaces.
7	Chip	Finished Turn on 4/20/2026 11:53:36 PM PDT
7	Chip	Boarded ship "Vulture".
7	Chip	Moved 2 spaces.
7	Chip	Picked up Cloth in Octomare.
7	Chip	Dropped off load Jewelry.
7	Chip	Picked up Wands in Octomare.
7	Chip	Moved 2 spaces.
7	Briand	Finished Turn on 4/20/2026 10:25:04 PM PDT
7	Briand	Moved 16 spaces.
6	ssnumber8	Finished Turn on 4/19/2026 10:28:39 PM PDT
6	ssnumber8	Disembarked.
6	ssnumber8	Moved 4 spaces.
6	ARStoo	Finished Turn on 4/19/2026 9:47:47 PM PDT
6	ARStoo	Moved 12 spaces.
6	Chip	Finished Turn on 4/19/2026 9:01:48 PM PDT
6	Chip	Disembarked.
6	Chip	Moved 1 spaces.
6	Briand	Finished Turn on 4/19/2026 5:35:21 PM PDT
6	Briand	Moved 16 spaces.
5	ssnumber8	Finished Turn on 4/19/2026 11:31:42 AM PDT
5	ssnumber8	Moved 10 spaces.
5	ARStoo	Built 16 segments for $20.
5	ARStoo	Finished Turn on 4/19/2026 9:45:02 AM PDT
5	ARStoo	Moved 2 spaces.
5	ARStoo	Picked up Iron in Railla.
5	ARStoo	Drew card 95.
5	ARStoo	Delivered Ale for $24 to Railla.
5	ARStoo	Moved 10 spaces.
5	Chip	Finished Turn on 4/19/2026 7:55:24 AM PDT
5	Chip	Moved 10 spaces.
5	Briand	Finished Turn on 4/18/2026 11:28:20 PM PDT
5	Briand	Upgraded train to a Red Dragon [16-2] for $20.
5	Briand	Moved 1 spaces.
5	Briand	Picked up Hops in Bluefeld.
5	Briand	Drew card 105.
5	Briand	Delivered Fish for $10 to Bluefeld.
5	Briand	Moved 11 spaces.
4	ssnumber8	Finished Turn on 4/18/2026 8:00:23 PM PDT
4	ssnumber8	Moved 10 spaces.
4	ARStoo	Built 3 segments for $15.
4	ARStoo	Finished Turn on 4/18/2026 4:27:39 PM PDT
4	ARStoo	Upgraded train to a Salamander [12-2] for $10.
4	ARStoo	Moved 10 spaces.
4	ARStoo	Player paid bribe of $1.
4	Chip	Finished Turn on 4/18/2026 11:21:42 AM PDT
4	Chip	Moved 10 spaces.
4	Briand	Built 8 segments for $19.
4	Briand	Finished Turn on 4/18/2026 9:46:50 AM PDT
4	Briand	Upgraded train to a Salamander [12-2] for $10.
4	Briand	Moved 1 spaces.
4	Briand	Picked up Fish in Parekis.
4	Briand	Dropped off load Gems.
4	Briand	Picked up Fish in Parekis.
4	Briand	Drew card 61.
4	Briand	Delivered Iron for $20 to Parekis.
4	Briand	Moved 9 spaces.
3	ssnumber8	Built 16 segments for $20.
3	ssnumber8	Finished Turn on 4/15/2026 12:28:07 AM PDT
3	ssnumber8	Boarded ship "Old Mormoth".
3	ssnumber8	Moved 2 spaces.
3	ssnumber8	Picked up Cattle in Bulatz.
3	ssnumber8	Dropped off load Steel.
3	ssnumber8	Moved 3 spaces.
3	ssnumber8	Moved 5 spaces.
3	ssnumber8	Picked up Steel in Bremmner.
3	ssnumber8	Picked up Steel in Bremmner.
3	ARStoo	Built 13 segments for $20.
3	ARStoo	Finished Turn on 4/14/2026 9:20:35 PM PDT
3	ARStoo	Moved 10 spaces.
3	ARStoo	Player paid bribe of $1.
3	ARStoo	Picked up Ale in Uloggh.
3	ARStoo	Picked up Ale in Uloggh.
3	Chip	Built 3 segments for $14.
3	Chip	Finished Turn on 4/14/2026 9:15:53 PM PDT
3	Chip	Upgraded train to a Sardar [10-3] for $10.
3	Chip	Boarded ship "Hyperion".
3	Chip	Moved 6 spaces.
3	Chip	Picked up Jewelry in West Wyckk.
3	Chip	Picked up Jewelry in West Wyckk.
3	Briand	Built 4 segments for $9.
3	Briand	Finished Turn on 4/14/2026 9:13:33 PM PDT
3	Briand	Moved 10 spaces.
3	Briand	Moved 10 spaces.
3	Briand	Picked up Gems in Railla.
3	Briand	Picked up Iron in Railla.
2	Briand	Built 13 segments for $19.
2	Briand	Finished Turn on 4/14/2026 9:11:52 PM PDT
2	Chip	Built 12 segments for $20.
2	Chip	Finished Turn on 4/12/2026 10:14:45 PM PDT
2	ARStoo	Built 16 segments for $20.
2	ARStoo	Finished Turn on 4/12/2026 2:42:27 PM PDT
2	ARStoo	Player paid bribe of $1.
2	ssnumber8	Built 9 segments for $16.
2	ssnumber8	Finished Turn on 4/12/2026 12:39:51 PM PDT
1	ssnumber8	Built 11 segments for $16.
1	ssnumber8	Finished Turn on 4/12/2026 9:33:24 AM PDT
1	ARStoo	Finished Turn on 4/12/2026 9:11:19 AM PDT
1	ARStoo	Pitched and drew cards 78, 104, 69.
1	Chip	Built 10 segments for $20.
1	Chip	Finished Turn on 4/12/2026 8:29:37 AM PDT
1	Briand	Built 16 segments for $20.
1	Briand	Finished Turn on 4/11/2026 9:20:54 PM PDT
0	ssnumber8	Finished Turn on 4/11/2026 7:41:02 PM PDT
0	ssnumber8	Player selected Gaelwyth Grae as foreman.
0	Chip	Finished Turn on 4/11/2026 2:17:44 PM PDT
0	Chip	Player selected Grocca as foreman.
0	ssnumber8	Finished Turn on 4/11/2026 12:39:06 PM PDT
0	ARStoo	Finished Turn on 4/11/2026 11:31:54 AM PDT
0	ARStoo	Player selected Ragnor Rockjaw as foreman.
0	Chip	Finished Turn on 4/11/2026 10:54:06 AM PDT
0	Briand	Finished Turn on 4/11/2026 10:25:17 AM PDT
0	Briand	Player selected Persy Browne as foreman.
1		IronDragon2017 game OPEN_005_IronDragon2017 has started. Each player starts with $60.
