Round	Player	Message
34	ssnumber8	Finished Turn on 5/10/2026 7:35:33 PM PDT
34	ssnumber8	Moved 16 spaces.
34	ARStoo	Finished Turn on 5/10/2026 1:46:54 PM PDT
34	ARStoo	Moved 6 spaces.
34	ARStoo	Picked up Wine in Saadah.
34	ARStoo	Dropped off load Cloth.
34	ARStoo	Moved 10 spaces.
34	Chip	Finished Turn on 5/10/2026 10:55:48 AM PDT
34	Chip	Moved 2 spaces.
34	Chip	Picked up Wands in Octomare.
34	Chip	Drew card 47.
34	Chip	Delivered Spells for $20 to Octomare.
34	Chip	Moved 10 spaces.
34	Briand	Built 13 segments for $15.
34	Briand	Finished Turn on 5/10/2026 10:02:06 AM PDT
34	Briand	Moved 16 spaces.
33	ssnumber8	Finished Turn on 5/9/2026 2:42:27 PM PDT
33	ssnumber8	Moved 15 spaces.
33	ARStoo	Built 11 segments for $16.
33	ARStoo	Finished Turn on 5/9/2026 1:43:12 PM PDT
33	ARStoo	Moved 10 spaces.
33	ARStoo	Picked up Spells in Ozu-Zarkh.
33	ARStoo	Dropped off load Cattle.
33	ARStoo	Moved 6 spaces.
33	Chip	Built 3 segments for $6.
33	Chip	Finished Turn on 5/9/2026 1:22:16 PM PDT
33	Chip	Player selected Grocca as foreman.
33	Chip	Moved 12 spaces.
33	Chip	Picked up Spells in Ozu-Zarkh.
33	Chip	Dropped off load Jewelry.
33	Chip	Moved 4 spaces.
33	Briand	Built 10 segments for $15.
33	Briand	Finished Turn on 5/9/2026 12:51:11 PM PDT
33	Briand	Moved 16 spaces.
32	ssnumber8	Built 14 segments for $20.
32	ssnumber8	Finished Turn on 5/9/2026 11:33:39 AM PDT
32	ssnumber8	Player paid bribe of $1.
32	ssnumber8	Moved 16 spaces.
32	ARStoo	Finished Turn on 5/9/2026 8:34:00 AM PDT
32	ARStoo	Moved 7 spaces.
32	ARStoo	Picked up Cloth in Oykjsord.
32	ARStoo	Dropped off load Hops.
32	ARStoo	Picked up Cloth in Oykjsord.
32	ARStoo	Dropped off load Gems.
32	ARStoo	Moved 9 spaces.
32	Chip	Finished Turn on 5/9/2026 6:30:30 AM PDT
32	Chip	Moved 16 spaces.
32	Briand	Built 8 segments for $12.
32	Briand	Finished Turn on 5/8/2026 11:19:19 PM PDT
32	Briand	Moved 9 spaces.
32	Briand	Picked up Wands in Octomare.
32	Briand	Drew card 65.
32	Briand	Delivered Pipeweed for $44 to Octomare.
32	Briand	Moved 7 spaces.
31	ssnumber8	Event Winged Demons Escape Underworld [144] has ended.
31	ssnumber8	Finished Turn on 5/8/2026 10:34:37 PM PDT
31	ssnumber8	Moved 16 spaces.
31	ARStoo	Finished Turn on 5/8/2026 9:27:09 PM PDT
31	ARStoo	Moved 16 spaces.
31	Chip	Finished Turn on 5/8/2026 8:19:21 PM PDT
31	Chip	Pitched and drew cards 2, 52, 77.
31	Briand	Finished Turn on 5/8/2026 7:47:05 PM PDT
31	Briand	Moved 16 spaces.
31	Briand	Moved 12 spaces.
30	ssnumber8	Built 11 segments for $19.
30	ssnumber8	Finished Turn on 5/8/2026 12:31:42 PM PDT
30	ssnumber8	Moved 6 spaces.
30	ssnumber8	Picked up Jewelry in West Wyckk.
30	ssnumber8	Moved 6 spaces.
30	ssnumber8	Drew card 84.
30	ssnumber8	Event Winged Demons Escape Underworld [144] was drawn.
30	ssnumber8	Delivered Fur for $60 to Wikkedde.
30	ssnumber8	Moved 4 spaces.
30	ARStoo	Built 7 segments for $14.
30	ARStoo	Finished Turn on 5/8/2026 9:37:01 AM PDT
30	ARStoo	Moved 1 spaces.
30	ARStoo	Picked up Gems in Sbadeh.
30	ARStoo	Drew card 9.
30	ARStoo	Delivered Hops for $33 to Sbadeh.
30	ARStoo	Moved 15 spaces.
30	Chip	Event Hurricane [135] has ended.
30	Chip	Finished Turn on 5/8/2026 6:16:43 AM PDT
30	Chip	Pitched and drew cards 103, 39, 23.
30	Briand	Finished Turn on 5/7/2026 9:13:16 PM PDT
30	Briand	Moved 16 spaces.
29	ssnumber8	Finished Turn on 5/7/2026 10:44:54 AM PDT
29	ssnumber8	Moved 16 spaces.
29	ARStoo	Finished Turn on 5/7/2026 8:30:17 AM PDT
29	ARStoo	Moved 4 spaces.
29	Chip	Finished Turn on 5/7/2026 6:46:06 AM PDT
29	Chip	Picked up Pipeweed in Jarlsstadh.
29	Chip	Drew card 120.
29	Chip	Event Hurricane [135] was drawn.
29	Chip	Delivered Cattle for $23 to Jarlsstadh.
29	Chip	Moved 8 spaces.
29	Briand	Finished Turn on 5/6/2026 9:23:35 PM PDT
29	Briand	Moved 13 spaces.
29	Briand	Picked up Gems in Railla.
29	Briand	Drew card 64.
29	Briand	Delivered Fish for $20 to Railla.
29	Briand	Moved 3 spaces.
28	ssnumber8	Finished Turn on 5/4/2026 8:10:19 PM PDT
28	ssnumber8	Moved 2 spaces.
28	ssnumber8	Picked up Wands in Octomare.
28	ssnumber8	Moved 14 spaces.
28	ARStoo	Built 17 segments for $19.
28	ARStoo	Finished Turn on 5/4/2026 8:09:25 PM PDT
28	ARStoo	Player paid bribe of $1.
28	ARStoo	Moved 16 spaces.
28	Chip	Built 15 segments for $20.
28	Chip	Finished Turn on 5/4/2026 6:52:09 PM PDT
28	Chip	Moved 16 spaces.
28	Briand	Built 14 segments for $20.
28	Briand	Finished Turn on 5/4/2026 5:14:20 PM PDT
28	Briand	Moved 16 spaces.
27	ssnumber8	Finished Turn on 5/4/2026 10:11:38 AM PDT
27	ssnumber8	Upgraded train to a Iron Dragon [16-3] for $20.
27	ssnumber8	Moved 14 spaces.
27	ARStoo	Built 17 segments for $20.
27	ARStoo	Finished Turn on 5/4/2026 8:20:10 AM PDT
27	ARStoo	Player paid bribe of $1.
27	ARStoo	Moved 9 spaces.
27	ARStoo	Picked up Cattle in Bulatz.
27	ARStoo	Moved 4 spaces.
27	ARStoo	Drew card 119.
27	ARStoo	Delivered Spells for $48 to Bluefeld.
27	ARStoo	Picked up Hops in Bluefeld.
27	ARStoo	Picked up Hops in Bluefeld.
27	ARStoo	Moved 3 spaces.
27	Chip	Built 13 segments for $20.
27	Chip	Finished Turn on 5/4/2026 6:13:01 AM PDT
27	Chip	Player paid bribe of $1.
27	Chip	Moved 5 spaces.
27	Chip	Picked up Cattle in Bulatz.
27	Chip	Drew card 114.
27	Chip	Delivered Fruit for $21 to Bulatz.
27	Chip	Picked up Cattle in Bulatz.
27	Chip	Moved 11 spaces.
27	Briand	Event Evil Prince Summons Warlord [148] has ended.
27	Briand	Built 11 segments for $20.
27	Briand	Finished Turn on 5/3/2026 10:19:45 PM PDT
27	Briand	Moved 4 spaces.
27	Briand	Picked up Pipeweed in Jodarre.
27	Briand	Dropped off load Ivory.
27	Briand	Moved 12 spaces.
26	ssnumber8	Built 9 segments for $18.
26	ssnumber8	Finished Turn on 5/3/2026 9:34:23 PM PDT
26	ssnumber8	Moved 5 spaces.
26	ssnumber8	Picked up Fish in Piggnytz.
26	ssnumber8	Drew card 16.
26	ssnumber8	Delivered Lumber for $19 to Piggnytz.
26	ssnumber8	Moved 9 spaces.
26	ARStoo	Player's turn was skipped due to an event.
26	Chip	Player's turn was skipped due to an event.
26	ARStoo	Finished Turn on 5/3/2026 9:31:40 PM PDT
26	ARStoo	Dropped off load Iron.
26	Chip	Finished Turn on 5/3/2026 9:24:55 PM PDT
26	Chip	Dropped off load Fruit.
26	Briand	Finished Turn on 5/3/2026 8:49:33 PM PDT
26	Briand	Moved 2 spaces.
26	Briand	Picked up Fish in Parekis.
26	Briand	Drew card 14.
26	ARStoo	1 load(s) must be dropped.
26	Chip	1 load(s) must be dropped.
26	ARStoo	1 turn(s) has been lost.
26	Chip	1 turn(s) has been lost.
26	Briand	Event Evil Prince Summons Warlord [148] was drawn.
26	Briand	Delivered Ivory for $53 to Parekis.
26	Briand	Moved 14 spaces.
25	ssnumber8	Built 9 segments for $18.
25	ssnumber8	Finished Turn on 5/3/2026 1:01:50 PM PDT
25	ssnumber8	Moved 6 spaces.
25	ssnumber8	Moved 6 spaces.
25	ssnumber8	Picked up Lumber in Pinewaere.
25	ssnumber8	Drew card 99.
25	ssnumber8	Delivered Fur for $66 to Pinewaere.
25	ssnumber8	Moved 6 spaces.
25	ARStoo	Built 8 segments for $20.
25	ARStoo	Finished Turn on 5/3/2026 11:18:50 AM PDT
25	ARStoo	Upgraded train to a Iron Dragon [16-3] for $10.
25	ARStoo	Moved 16 spaces.
25	Chip	Finished Turn on 5/3/2026 10:45:55 AM PDT
25	Chip	Moved 16 spaces.
25	Briand	Finished Turn on 5/3/2026 10:34:23 AM PDT
25	Briand	Disembarked.
25	Briand	Moved 7 spaces.
24	ssnumber8	Finished Turn on 5/3/2026 10:18:00 AM PDT
24	ssnumber8	Moved 14 spaces.
24	ARStoo	Built 13 segments for $20.
24	ARStoo	Finished Turn on 5/2/2026 10:33:04 PM PDT
24	ARStoo	Moved 4 spaces.
24	Chip	Finished Turn on 5/2/2026 10:14:12 PM PDT
24	Chip	Moved 5 spaces.
24	Chip	Picked up Fruit in Ghassouf.
24	Chip	Picked up Fruit in Ghassouf.
24	Chip	Dropped off load Cattle.
24	Chip	Moved 3 spaces.
24	Chip	Moved 1 spaces, paying $4 for rent to ssnumber8
24	Chip	Drew card 82.
24	Chip	Delivered Hops for $23 to Glyween.
24	Chip	Moved 7 spaces.
24	Briand	Finished Turn on 5/2/2026 9:25:55 PM PDT
24	Briand	Moved 8 spaces.
23	ssnumber8	Finished Turn on 5/2/2026 6:18:53 PM PDT
23	ssnumber8	Moved 14 spaces.
23	ARStoo	Finished Turn on 5/2/2026 8:56:50 AM PDT
23	ARStoo	Pitched and drew cards 25, 33, 13.
23	Chip	Finished Turn on 5/2/2026 7:32:35 AM PDT
23	Chip	Moved 16 spaces.
23	Briand	Finished Turn on 5/1/2026 11:09:41 PM PDT
23	Briand	Moved 8 spaces.
22	ssnumber8	Finished Turn on 5/1/2026 6:56:41 PM PDT
22	ssnumber8	Moved 14 spaces.
22	ARStoo	Finished Turn on 5/1/2026 6:30:15 PM PDT
22	ARStoo	Picked up Iron in Railla.
22	ARStoo	Drew card 36.
22	ARStoo	Delivered Jewelry for $34 to Railla.
22	ARStoo	Moved 15 spaces.
22	Chip	Event Flood! [152] has ended.
22	Chip	Built 17 segments for $20.
22	Chip	Finished Turn on 5/1/2026 12:44:08 PM PDT
22	Chip	Player paid bribe of $1.
22	Chip	Moved 9 spaces.
22	Chip	Picked up Hops in Bluefeld.
22	Chip	Dropped off load Sheep.
22	Chip	Moved 7 spaces.
22	Briand	Finished Turn on 5/1/2026 11:18:25 AM PDT
22	Briand	Moved 8 spaces.
21	ssnumber8	Built 9 segments for $20.
21	ssnumber8	Finished Turn on 5/1/2026 11:13:19 AM PDT
21	ssnumber8	Moved 14 spaces.
21	ARStoo	Finished Turn on 5/1/2026 9:36:37 AM PDT
21	ARStoo	Moved 16 spaces.
21	Chip	Finished Turn on 5/1/2026 8:27:51 AM PDT
21	Chip	Pitched and drew cards 81, 63, 42.
21	Chip	Player was taxed $10.
21	Chip	Event War Tax! [140] was drawn.
21	ssnumber8	Player had 1 tracks destroyed.
21	ssnumber8	Player had 1 tracks destroyed.
21	Chip	Event Flood! [152] was drawn.
21	Briand	Finished Turn on 4/30/2026 11:54:40 PM PDT
21	Briand	Moved 8 spaces.
20	ssnumber8	Built 13 segments for $20.
20	ssnumber8	Finished Turn on 4/30/2026 11:43:27 PM PDT
20	ssnumber8	Moved 2 spaces.
20	ssnumber8	Picked up Fur in Kola.
20	ssnumber8	Dropped off load Potions.
20	ssnumber8	Picked up Fur in Kola.
20	ssnumber8	Drew card 86.
20	ssnumber8	Delivered Wine for $32 to Kola.
20	ssnumber8	Moved 12 spaces.
20	ARStoo	Built 5 segments for $7.
20	ARStoo	Finished Turn on 4/30/2026 10:49:21 PM PDT
20	ARStoo	Moved 5 spaces.
20	ARStoo	Picked up Spells in Ozu-Zarkh.
20	ARStoo	Moved 5 spaces.
20	ARStoo	Dropped off load Pilgrims.
20	ARStoo	Picked up Jewelry in West Wyckk.
20	ARStoo	Dropped off load Gems.
20	ARStoo	Moved 6 spaces.
20	Chip	Finished Turn on 4/30/2026 10:03:57 PM PDT
20	Chip	Moved 11 spaces.
20	Chip	Picked up Cattle in Bulatz.
20	Chip	Drew card 51.
20	Chip	Delivered Spells for $44 to Bulatz.
20	Chip	Moved 2 spaces.
